Subject,Time,Score
1,Pre,73.42065601940513
1,Mid,81.56446737649263
1,Post,90.06583264972197
2,Pre,67.1902251744166
2,Mid,79.44362426424289
2,Post,81.19651191882495
3,Pre,68.41444508686425
3,Mid,69.39053414127054
3,Post,74.38128589823935
4,Pre,64.28257719389708
4,Mid,70.03602684247615
4,Post,79.68654805556439
5,Pre,63.15434036770571
5,Mid,63.265254735239765
5,Post,66.24813623198344
6,Pre,80.82208494942628
6,Mid,86.99530297012413
6,Post,86.0261974065186
7,Pre,66.08862856263801
7,Mid,66.04096389410934
7,Post,77.14773027718124
8,Pre,64.02811548147645
8,Mid,67.78806403173198
8,Post,82.6040032186853
9,Pre,65.66117848627293
9,Mid,78.18220185050929
9,Post,75.00864760221243
10,Pre,63.832228264518946
10,Mid,71.35816456444432
10,Post,82.45835370351455
11,Pre,76.59320576472317
11,Mid,80.44513951041033
11,Post,84.70331785760612
12,Pre,55.292447243481746
12,Mid,61.329268993221426
12,Post,72.40031298193624
13,Pre,65.69678569509675
13,Mid,79.04528219412687
13,Post,81.20861719488242
14,Pre,67.0313291529158
14,Mid,73.70862208753613
14,Post,78.30974447401712
15,Pre,62.04941031081404
15,Mid,69.61131353983315
15,Post,77.18844032270833
16,Pre,65.42397019058241
16,Mid,66.74126620121356
16,Post,71.381779600915
17,Pre,81.92516669343688
17,Mid,81.21216609283225
17,Post,90.51433817072169
18,Pre,70.31260918196058
18,Mid,79.33867062241472
18,Post,89.04523446624495
19,Pre,75.97196631037642
19,Mid,64.23441127076141
19,Post,83.00100170462129
20,Pre,69.5003471440419
20,Mid,76.06341965204737
20,Post,72.7461008875018
21,Pre,69.67107518334689
21,Mid,79.15420107626596
21,Post,76.16954402420532
22,Pre,61.525023002516356
22,Mid,72.1936596476628
22,Post,74.84705561549325
23,Pre,67.81498810231712
23,Mid,71.15022856725585
23,Post,79.63649833199526
24,Pre,63.0729266625901
24,Mid,67.81514263645255
24,Post,68.5295154564527
25,Pre,73.41318330523616
25,Mid,77.38941604308646
25,Post,81.43061368301602
26,Pre,56.99445277253525
26,Mid,62.30617599748961
26,Post,65.46792498671022
27,Pre,70.32591773393008
27,Mid,81.25445791151405
27,Post,79.40802555799928
28,Pre,71.76261946271745
28,Mid,69.38531826458595
28,Post,81.95434762398524
29,Pre,80.33481012946936
29,Mid,74.71239782040372
29,Post,81.68803104886267
30,Pre,65.04759369187992
30,Mid,79.29359710041814
30,Post,82.73003797310515
