StoreID,Region,MonthlySpend,StoreSizeIndex,Age,IncomeK,DaysSinceLastPurchase,Device,Promo,EmailTouch,PaidSearchClick,Converted,Revenue
S17,South,105046,0.8714287779481898,38,67.6,21,Tablet,1,1,0,1,43.52
S05,Midwest,144893,0.6159794225754956,40,39.6,17,Desktop,0,1,0,0,17.17
S10,South,113304,0.6505927878247011,24,58.8,75,Mobile,1,0,1,1,39.15
S17,South,105046,0.8714287779481898,18,68.3,16,Desktop,1,1,0,0,20.27
S10,South,113304,0.6505927878247011,40,45.8,29,Mobile,0,0,1,0,22.18
S04,Northeast,140518,-0.8137727282478777,42,104.3,19,Mobile,0,1,0,0,25.6
S20,Northeast,109173,0.06757906948889146,53,117.3,12,Mobile,0,0,1,1,20.77
S21,Northeast,135987,0.28911939868998415,57,78.5,17,Mobile,0,1,0,1,94.16
S04,Northeast,140518,-0.8137727282478777,57,67.8,32,Desktop,1,0,0,0,83.02
S09,Midwest,150029,-0.8244812156912396,26,39.5,28,Desktop,0,0,0,0,31.3
S08,Northeast,103818,-0.840156476962528,34,102.0,15,Desktop,0,1,0,1,20.73
S20,Northeast,109173,0.06757906948889146,44,69.7,35,Desktop,1,0,1,0,80.24
S22,South,96833,0.6312882258385404,68,61.6,28,Mobile,1,0,0,1,23.56
S22,South,96833,0.6312882258385404,56,78.6,25,Desktop,0,0,0,0,41.77
S29,Midwest,136826,-0.8658311156932432,51,55.1,23,Mobile,1,0,0,1,68.5
S24,West,106639,-0.31967121635730134,33,71.2,92,Mobile,0,1,0,0,15.13
S10,South,113304,0.6505927878247011,27,36.3,14,Mobile,1,0,0,0,36.83
S04,Northeast,140518,-0.8137727282478777,47,91.9,99,Desktop,0,0,0,0,20.79
S19,West,141896,0.6789135630718949,25,65.7,89,Desktop,1,0,0,1,120.56
S28,Midwest,120437,1.4949413112343959,35,93.5,52,Tablet,0,0,1,0,126.64
S30,Northeast,135629,0.9682783545914808,37,63.6,29,Desktop,0,0,0,1,49.25
S07,Northeast,107795,-0.11394745765487507,57,65.0,55,Mobile,1,1,0,0,34.21
S08,Northeast,103818,-0.840156476962528,34,41.3,64,Mobile,0,0,0,0,30.88
S02,South,108279,-0.4064150163846156,18,84.7,22,Mobile,0,1,0,1,18.38
