CustomerID,SignupDate,Age,Gender,AnnualIncome,MonthlySpend,Region,Transactions,Comments
C1000,2022-01-01,50.0,,120000,313.9203882720641,Central,1,Excellent!
C1001,2022-01-02,,Female,60000,508.2275569767233,West,2,Good service
C1002,2022-01-03,40.0,Unknown,120000,372.52355435286745,,3,Good service
C1003,2022-01-04,50.0,,70000,556.8310916762218,Central,4,
C1004,2022-01-05,35.0,Male,120000,389.6690918919436,West,5,Good service
C1005,2022-01-06,40.0,Female,60000,685.9921286021047,,5,Excellent!
C1006,2022-01-07,40.0,,60000,406.00960491965157,East,4,Bad experience
C1007,2022-01-08,50.0,Male,,461.35261805531894,West,20,Excellent!
C1008,2022-01-09,30.0,,70000,597.6220660843603,Central,10,Bad experience
C1009,2022-01-10,35.0,Male,50000,352.2962820279254,South,2,Bad experience
C1010,2022-01-11,50.0,Female,50000,527.2951921524955,West,5,Good service
C1011,2022-01-12,35.0,Unknown,120000,656.8571305138914,South,3,Average
C1012,2022-01-13,35.0,Male,,307.1020118526527,,2,
C1013,2022-01-14,40.0,,40000,522.1560630238765,East,3,Good service
C1014,2022-01-15,,Female,120000,531.1859353098108,North,20,Good service
C1015,2022-01-16,35.0,Male,,593.8187446132772,East,1,Average
C1016,2022-01-17,45.0,,70000,351.5659146946302,West,2,
C1017,2022-01-18,40.0,,70000,341.54520642988683,South,5,Excellent!
C1018,2022-01-19,30.0,,70000,562.6329878740278,South,2,
C1019,2022-01-20,,Male,70000,535.6381607879823,Central,2,
C1020,2022-01-21,45.0,Male,70000,530.0591420415052,South,2,Excellent!
C1021,2022-01-22,45.0,Male,,541.573785139637,Central,10,Good service
C1022,2022-01-23,30.0,Unknown,,418.3970334105811,,2,
C1023,2022-01-24,,Male,60000,527.8704436593205,North,3,Good service
C1024,2022-01-25,40.0,Male,50000,535.1686967958417,West,1,Bad experience
C1025,2022-01-26,25.0,Male,70000,414.27782983683585,Central,20,Good service
